COMPANY_ID,QUERY,ANSWER,CONTEXT,__index_level_0__
ISMTLTD_2023_converted.txt_4,What is the total value of assets of the company?,"The total value of assets of the company is $1,972.70 million.","OtherCurrentAssets: 54.85 Total Current Assets: 881.29 Total Assets: 1,972.70 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 375.36 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure In",3540
JISLJALEQS_2023_converted.txt_3,What is the Asset Turnover Ratio of the company?,The Asset Turnover Ratio of the company is 0.43.,(%): 0.96 Net Profit Margin (%): 1.08 Return on Networth / Equity (%): 0.85 Return on Capital Employed (%): 7.31 Return on Assets (%): 0.46 Total Debt/Equity (X): 0.6 Asset Turnover Ratio (%): 0.43 Liquidity Ratios: nan Current Ratio (X): 1.43 Quick Ratio (X): 1.1 Inventory Turnover Ratio (X): 2.55 Dividend Payout Ratio (NP) (%): 0 Dividend Payout Ratio,3002
CANFINHOME_2023_converted.txt_2,What is the Asset Turnover Ratio of the company?,Asset Turnover Ratio of the company is 0.09.,30.05 Net Profit Margin (%): 22.65 Return on Networth / Equity (%): 17.03 Return on Capital Employed (%): 23.92 Return on Assets (%): 1.87 Total Debt/Equity (X): 7.97 Asset Turnover Ratio (%): 0.09 Liquidity Ratios: nan Current Ratio (X): 1.46 Quick Ratio (X): 1.46 Inventory Turnover Ratio (X): 0.0 Dividend Payout Ratio (NP) (%): 6.43 Dividend Payout,2823
RML_2023_converted.txt_5,What is the expenditure in foreign currency of the company?,The expenditure in foreign currency of the company is 61.19.,"OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 193.23 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure In Foreign Currency: 61.19 REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS: nan Dividend",4524
CAMLINFINE_2023_converted.txt_3,What is the expenditure in foreign currency of the company?,Expenditure in foreign currency of the company is $151.02.,"42.79 OtherCurrentAssets: 44.83 Total Current Assets: 875.72 Total Assets: 1,593.81 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 135.07 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure",4156
DECCANCE_2023_converted.txt_1,What is the Asset Turnover Ratio of the company?,Asset Turnover Ratio (%): 0.73,Margin (%): 10.11 PBT Margin (%): 8.52 Net Profit Margin (%): 6.3 Return on Networth / Equity (%): 7.17 Return on Capital Employed (%): 8.74 Return on Assets (%): 4.26 Total Debt/Equity (X): 0.39 Asset Turnover Ratio (%): 0.73 Liquidity Ratios: nan Current Ratio (X): 1.58 Quick Ratio (X): 1.12 Inventory Turnover Ratio (X): 0.9 Dividend Payout Ratio,2875
HCC_2023_converted.txt_1,What is the Asset Turnover Ratio of the company?,Asset Turnover Ratio: 0.53,(%): 4.88 Net Profit Margin (%): 4.85 Return on Networth / Equity (%): 35.15 Return on Capital Employed (%): 17.71 Return on Assets (%): 3.02 Total Debt/Equity (X): 2.71 Asset Turnover Ratio (%): 0.53 Liquidity Ratios: nan Current Ratio (X): 1.13 Quick Ratio (X): 1.09 Inventory Turnover Ratio (X): 0.0 Dividend Payout Ratio (NP) (%): 0 Dividend Payout,3010
PRAKASHSTL_2023_converted.txt_0,What is the equity share capital of the company?,The equity share capital of the company is 17.5.,Symbol: PRAKASHSTL Company Name: Prakash Steelage Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 17.5 Total Share Capital: 17.5 Reserves and Surplus: -67.65 Total Reserves and Surplus: -67.65 Total Shareholders Funds: -50.15 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities [Net]: 0 Other,490
IDEA_2023_converted.txt_1,What are the total shareholders' funds of the company?,"The total shareholders' funds of the company are -73,838.80 million.","Symbol: IDEA Company Name: Vodafone Idea Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 48,679.70 Total Share Capital: 48,679.70 Reserves and Surplus: -122,522.30 Total Reserves and Surplus: -122,522.30 Total Shareholders Funds: -73,838.80 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 189,290.10 Deferred Tax Liabilities",1448
TPLPLASTEH_2023_converted.txt_0,What is the equity share capital of the company?,The equity share capital of the company is 15.6.,Symbol: TPLPLASTEH Company Name: TPL Plastech Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 15.6 Total Share Capital: 15.6 Reserves and Surplus: 99.8 Total Reserves and Surplus: 99.8 Total Shareholders Funds: 115.4 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 15.6 Deferred Tax Liabilities [Net]: 8.44 Other Long,862
DALMIASUG_2023_converted.txt_1,What are the deferred tax liabilities of the company?,Deferred Tax Liabilities of the company are 217.4.,"Symbol: DALMIASUG Company Name: Dalmia Bharat Sugar and Industries Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 16.19 Total Share Capital: 16.19 Reserves and Surplus: 2,688.76 Total Reserves and Surplus: 2,688.76 Total Shareholders Funds: 2,704.95 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 325.65 Deferred",2170
FSL_2023_converted.txt_1,What are the total shareholders' funds of the company?,"The total shareholders' funds of the company are 2,304.35.","Symbol: FSL Company Name: Firstsource Solutions Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 696.99 Total Share Capital: 696.99 Reserves and Surplus: 1,542.20 Total Reserves and Surplus: 1,542.20 Total Shareholders Funds: 2,304.35 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 3.79 Deferred Tax Liabilities [Net]:",1406
LGBFORGE_2023_converted.txt_0,What is the total reserves and surplus of the company?,The total reserves and surplus of the company is 6.35.,Symbol: LGBFORGE Company Name: LGB Forge Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 23.82 Total Share Capital: 23.82 Reserves and Surplus: 6.35 Total Reserves and Surplus: 6.35 Total Shareholders Funds: 30.17 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 2.58 Deferred Tax Liabilities [Net]: 0 Other Long Term,999
NELCAST_2023_converted.txt_3,What is the total value of assets of the company?,"The total value of assets of the company is 1,025.76.","412.62 Total Capital And Liabilities: 1,025.76 ASSETS: nan NON-CURRENT ASSETS: nan Tangible Assets: 431.74 Intangible Assets: 0.38 Capital Work-In-Progress: 1.04 Other Assets: 0 Fixed Assets: 433.16 Non-Current Investments: 50.06 Deferred Tax Assets [Net]: 0 Long Term Loans And Advances: 0 Other Non-Current Assets: 2.2 Total Non-Current Assets: 485.42",3837
GANESHHOUC_2023_converted.txt_3,What is the expenditure in foreign currency of the company?,The expenditure in foreign currency of the company is 0.,"71.7 OtherCurrentAssets: 7.05 Total Current Assets: 661.49 Total Assets: 1,174.29 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 33.22 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure",4155
BALAXI_2023_converted.txt_5,What is the value of bonus equity share capital of the company?,The value of bonus equity share capital of the company is 0.65.,"0.22 OtherCurrentAssets: 1.14 Total Current Assets: 99.02 Total Assets: 129.72 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 0 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure In Foreign",4602
BAJAJELEC_2023_converted.txt_4,What is the total value of assets of the company?,"The total value of assets of the company is 4,714.78.","28.98 OtherCurrentAssets: 466.94 Total Current Assets: 3,435.94 Total Assets: 4,714.78 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 115.69 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure",3213
UPL_2023_converted.txt_3,What are the deferred tax liabilities of the company?,The deferred tax liabilities of the company are -5.,"Expenses: 951 Other Expenses: 4,019.00 Total Expenses: 17,949.00 Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax: 1,296.00 Exceptional Items: -12 Profit/Loss Before Tax: 1,284.00 Tax Expenses-Continued Operations: nan Current Tax: 314 Less: MAT Credit Entitlement: 0 Deferred Tax: -5 Tax For Earlier Years: 0 Total Tax Expenses: 309 Profit/Loss",2669
PREMIERPOL_2023_converted.txt_0,What is the equity share capital of the company?,The equity share capital of Premier Polyfilm Ltd. is 10.59.,Symbol: PREMIERPOL Company Name: Premier Polyfilm Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 10.59 Total Share Capital: 10.59 Reserves and Surplus: 62.84 Total Reserves and Surplus: 62.84 Total Shareholders Funds: 73.43 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities [Net]: 0.82 Other,506
FCL_2023_converted.txt_0,What is the equity share capital of the company?,The equity share capital of the company is 22.15.,Symbol: FCL Company Name: Fineotex Chemical Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 22.15 Total Share Capital: 22.15 Reserves and Surplus: 247.44 Total Reserves and Surplus: 247.44 Total Shareholders Funds: 269.59 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities [Net]: 1.91 Other,393
THEMISMED_2023_converted.txt_3,What are the deferred tax liabilities of the company?,The deferred tax liabilities of the company are 0.61.,"Amortisation Expenses: 10.49 Other Expenses: 102.35 Total Expenses: 306.92 Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax: 58.91 Exceptional Items: 0 Profit/Loss Before Tax: 58.91 Tax Expenses-Continued Operations: nan Current Tax: 15 Less: MAT Credit Entitlement: 0 Deferred Tax: 0.61 Tax For Earlier Years: 0 Total Tax Expenses: 15.61 Profit/Loss",2591
LGBFORGE_2023_converted.txt_1,What are the total shareholders' funds of the company?,The total shareholders' funds of the company are 30.17.,Symbol: LGBFORGE Company Name: LGB Forge Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 23.82 Total Share Capital: 23.82 Reserves and Surplus: 6.35 Total Reserves and Surplus: 6.35 Total Shareholders Funds: 30.17 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 2.58 Deferred Tax Liabilities [Net]: 0 Other Long Term,1538
PVRINOX_2023_converted.txt_2,What are the total shareholders' funds of the company?,"The total shareholders' funds of the company are 7,350.37.","Symbol: PVRINOX Company Name: PVR INOX Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 97.97 Total Share Capital: 97.97 Reserves and Surplus: 7,252.40 Total Reserves and Surplus: 7,252.40 Total Shareholders Funds: 7,350.37 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 1,272.28 Deferred Tax Liabilities [Net]: 0",1503
PARAGMILK_2023_converted.txt_1,What are the total shareholders' funds of the company?,The total shareholders' funds of the company are 818.16.,Symbol: PARAGMILK Company Name: Parag Milk Foods Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 117.2 Total Share Capital: 117.2 Reserves and Surplus: 696.27 Total Reserves and Surplus: 696.27 Total Shareholders Funds: 818.16 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 204.6 Deferred Tax Liabilities [Net]: 1.46,1505
KEEPLEARN_2023_converted.txt_2,What is the total value of assets of the company?,The total value of assets of the company is 4.42.,Current Liabilities: 1.46 Total Capital And Liabilities: 4.42 ASSETS: nan NON-CURRENT ASSETS: nan Tangible Assets: 0.28 Intangible Assets: 0.33 Capital Work-In-Progress: 0 Other Assets: 0 Fixed Assets: 1.17 Non-Current Investments: 0.15 Deferred Tax Assets [Net]: 0.07 Long Term Loans And Advances: 0 Other Non-Current Assets: 0 Total Non-Current Assets:,3543
SBILIFE_2023_converted.txt_2,What is the Asset Turnover Ratio of the company?,The Asset Turnover Ratio of the company is 15.12.,(X): 15.12 Asset Turnover Ratio (%): 4.1 Liquidity Ratios: 0.91 Current Ratio (X): 16.75 Quick Ratio (X): 2.62 Inventory Turnover Ratio (X): 35.58 Dividend Payout Ratio (NP) (%): 6.01 Dividend Payout Ratio (CP) (%): 0.66 Earnings Retention Ratio (%): 0.24 Cash Earnings Retention Ratio (%): 1.77 Valuation Ratios: 3.39 Enterprise Value (Cr.): nan EV/Net,3179
BSOFT_2023_converted.txt_3,What is the Asset Turnover Ratio of the company?,Asset Turnover Ratio of the company is 1.33%.,11.05 Net Profit Margin (%): 8.28 Return on Networth / Equity (%): 16.41 Return on Capital Employed (%): 20.87 Return on Assets (%): 12.36 Total Debt/Equity (X): 0.0 Asset Turnover Ratio (%): 1.33 Liquidity Ratios: nan Current Ratio (X): 2.94 Quick Ratio (X): 2.94 Inventory Turnover Ratio (X): 0.0 Dividend Payout Ratio (NP) (%): 62.36 Dividend Payout,2796
BSL_2023_converted.txt_5,What is the expenditure in foreign currency of the company?,Expenditure in foreign currency of the company is 48.44.,"OtherCurrentAssets: 21.46 Total Current Assets: 305.72 Total Assets: 538.26 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 119.44 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 28 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure In Foreign",4167
SUNDRMBRAK_2023_converted.txt_2,What are the total shareholders' funds of the company?,Total shareholders' funds of the company are 85.41.,Symbol: SUNDRMBRAK Company Name: Sundaram Brake Linings Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 3.93 Total Share Capital: 3.93 Reserves and Surplus: 81.48 Total Reserves and Surplus: 81.48 Total Shareholders Funds: 85.41 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 4.94 Deferred Tax Liabilities [Net]:,1881
SADBHIN_2023_converted.txt_3,What are the deferred tax liabilities of the company?,The deferred tax liabilities of the company are -21.21.,"Amortisation Expenses: 0.07 Other Expenses: 10.1 Total Expenses: 207.02 Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax: -79.65 Exceptional Items: -317.35 Profit/Loss Before Tax: -397.01 Tax Expenses-Continued Operations: nan Current Tax: 0 Less: MAT Credit Entitlement: 0 Deferred Tax: -21.21 Tax For Earlier Years: -18.25 Total Tax Expenses: -39.46",2480
BLUECHIP_2023_converted.txt_3,What is the expenditure in foreign currency of the company?,The expenditure in foreign currency of the company is 0.,"Advances: 1.64 OtherCurrentAssets: 0.1 Total Current Assets: 7.91 Total Assets: 9.48 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 0.07 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure",4288
SAIL_2023_converted.txt_5,What is the expenditure in foreign currency of the company?,The expenditure in foreign currency of the company is 17.86.,"Assets: 127,714.99 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 52,358.94 CIF VALUE OF IMPORTS: nan Raw Materials: 51,936.90 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure In Foreign Currency: 17.86 REMITTANCES IN FOREIGN CURRENCIES",4519
PILANIINVS_2023_converted.txt_2,What is the Asset Turnover Ratio of the company?,The Asset Turnover Ratio of the company is 0.99%.,(%): 3.49 Total Debt/Equity (X): 0.16 Asset Turnover Ratio (%): 0.99 Liquidity Ratios: nan Current Ratio (X): 4.15 Quick Ratio (X): 3.14 Inventory Turnover Ratio (X): 3.33 Dividend Payout Ratio (NP) (%): 0 Dividend Payout Ratio (CP) (%): 0 Earnings Retention Ratio (%): 0 Cash Earnings Retention Ratio (%): 0 Valuation Ratios: nan Enterprise Value (Cr.):,3112
RGL_2023_converted.txt_1,What are the total shareholders' funds of the company?,The total shareholders' funds of the company are 545.,Symbol: RGL Company Name: Renaissance Global Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 18.88 Total Share Capital: 18.88 Reserves and Surplus: 526.12 Total Reserves and Surplus: 526.12 Total Shareholders Funds: 545 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 43.84 Deferred Tax Liabilities [Net]: 0 Other,1659
ICICIBANK_2023_converted.txt_2,What is the Asset Turnover Ratio of the company?,Asset Turnover Ratio is 11.04%.,"Net Profit Margin (%): 3,729,625,427.97 Return on Networth / Equity (%): nan Return on Capital Employed (%): 3.27 Return on Assets (%): 45.83 Total Debt/Equity (X): 29.2 Asset Turnover Ratio (%): 11.04 Liquidity Ratios: 2.01 Current Ratio (X): 16.13 Quick Ratio (X): 3.92 Inventory Turnover Ratio (X): 38.79 Dividend Payout Ratio (NP) (%): 6.89 Dividend",3123
PRUDMOULI_2023_converted.txt_0,What is the equity share capital of the company?,The equity share capital of the company is 32.25.,Symbol: PRUDMOULI Company Name: Prudential Sugar Corporation Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 32.25 Total Share Capital: 36.33 Reserves and Surplus: 47.37 Total Reserves and Surplus: 47.37 Total Shareholders Funds: 83.71 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities [Net]:,433
IGL_2023_converted.txt_4,What is the total value of assets of the company?,"The total value of assets of the company is $11,775.92.","0 OtherCurrentAssets: 223.02 Total Current Assets: 4,227.90 Total Assets: 11,775.92 OTHER ADDITIONAL INFORMATION: nan CONTINGENT LIABILITIES, COMMITMENTS: nan Contingent Liabilities: 6,731.71 CIF VALUE OF IMPORTS: nan Raw Materials: 0 Stores, Spares And Loose Tools: 0 Trade/Other Goods: 0 Capital Goods: 0 EXPENDITURE IN FOREIGN EXCHANGE: nan Expenditure",3452
ASHIMASYN_2023_converted.txt_3,What is the total value of assets of the company?,The total value of assets of the company is 320.18.,67.14 Total Capital And Liabilities: 320.18 ASSETS: nan NON-CURRENT ASSETS: nan Tangible Assets: 133.97 Intangible Assets: 0.07 Capital Work-In-Progress: 4.13 Other Assets: 0 Fixed Assets: 138.17 Non-Current Investments: 15.15 Deferred Tax Assets [Net]: 0 Long Term Loans And Advances: 0 Other Non-Current Assets: 6.85 Total Non-Current Assets: 160.17,4137
SARLAPOLY_2023_converted.txt_1,What are the total shareholders' funds of the company?,The total shareholders' funds of the company are 430.97.,Symbol: SARLAPOLY Company Name: Sarla Performance Fibers Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 8.35 Total Share Capital: 8.35 Reserves and Surplus: 422.62 Total Reserves and Surplus: 422.62 Total Shareholders Funds: 430.97 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0.11 Deferred Tax Liabilities [Net]:,1730
SESHAPAPER_2023_converted.txt_3,What is the Asset Turnover Ratio of the company?,The Asset Turnover Ratio of the company is 0.91.,(X): 0.91 Asset Turnover Ratio (%): 0.01 Liquidity Ratios: nan Current Ratio (X): 0.67 Quick Ratio (X): 0.67 Inventory Turnover Ratio (X): 0.0 Dividend Payout Ratio (NP) (%): 0 Dividend Payout Ratio (CP) (%): 0 Earnings Retention Ratio (%): 0 Cash Earnings Retention Ratio (%): 0 Valuation Ratios: nan Enterprise Value (Cr.): 138.12 EV/Net Operating Revenue,3203
ZENITHSTL_2023_converted.txt_1,What are the total shareholders' funds of the company?,The total shareholders' funds of the company are -250.04.,Symbol: ZENITHSTL Company Name: Zenith Steel Pipes & Industries Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 142.28 Total Share Capital: 142.28 Reserves and Surplus: -392.32 Total Reserves and Surplus: -392.32 Total Shareholders Funds: -250.04 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 3.17 Deferred Tax Liabilities,2024
BHARATWIRE_2023_converted.txt_1,What is the Asset Turnover Ratio of the company?,Asset Turnover Ratio is 0.76.,(%): 16.4 Net Profit Margin (%): 10.56 Return on Networth / Equity (%): 11.11 Return on Capital Employed (%): 16.75 Return on Assets (%): 7.96 Total Debt/Equity (X): 0.32 Asset Turnover Ratio (%): 0.76 Liquidity Ratios: nan Current Ratio (X): 3.82 Quick Ratio (X): 2.28 Inventory Turnover Ratio (X): 3.56 Dividend Payout Ratio (NP) (%): 0 Dividend Payout,2915
NAHARCAP_2023_converted.txt_3,What is the total value of assets of the company?,The total value of assets of the company is 860.41.,0.01 Total Current Liabilities: 3.58 Total Capital And Liabilities: 860.41 ASSETS: nan NON-CURRENT ASSETS: nan Tangible Assets: 0.01 Intangible Assets: 0 Capital Work-In-Progress: 0.01 Other Assets: 54.06 Fixed Assets: 54.08 Non-Current Investments: 0 Deferred Tax Assets [Net]: 0 Long Term Loans And Advances: 0 Other Non-Current Assets: 1.95 Total Non-Current,3892
STLTECH_2023_converted.txt_3,What are the deferred tax liabilities of the company?,The deferred tax liabilities of the company are -4.,"Amortisation Expenses: 203 Other Expenses: 1,388.00 Total Expenses: 5,097.00 Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax: 434 Exceptional Items: 0 Profit/Loss Before Tax: 434 Tax Expenses-Continued Operations: nan Current Tax: 102 Less: MAT Credit Entitlement: 0 Deferred Tax: -4 Tax For Earlier Years: 0 Total Tax Expenses: 98 Profit/Loss",2606
